diff,msg,isGood
mmm / dev / null <nl> ppp b / modules / swagger - core / src / test / java / io / swagger / models / ModelWithBooleanProperty . java <nl> <nl> + package io . swagger . models ; <nl> + <nl> + / * * <nl> + * Created by tony on 12 / 24 / 16 . <nl> + * / <nl> + public class ModelWithBooleanProperty { <nl> + },"added fix , tests for <issue_id>",1
mmm a / kie - internal / src / main / java / org / kie / internal / builder / InternalKieBuilder . java <nl> ppp b / kie - internal / src / main / java / org / kie / internal / builder / InternalKieBuilder . java <nl> public interface InternalKieBuilder extends KieBuilder { <nl> KieBuilderSet createFileSet ( String . . . files ) ; <nl> <nl> KieModule getKieModuleIgnoringErrors ( ) ; <nl> + <nl> + IncrementalResults incrementalBuild ( ) ; <nl> },make incremental compilation to automatically calculate the list of modified files,1
"mmm QueuedThreadPool . java <nl> ppp QueuedThreadPool . java <nl> - dump . add(thread . getId()+"" ""+thread . getName()+"" ""+thread . getState()+"" @ ""+trace[0]+(idle?"" IDLE"":"""")) ; <nl> + dump . add(thread . getId()+"" ""+thread . getName()+"" ""+thread . getState()+"" @ ""+(trace . length>0?trace[0]:""???"")+(idle?"" IDLE"":"""")) ; <nl>",protect qtp dump from bad stack,0
"mmm a / src / com / hazelcast / core / IQueue . java <nl> ppp b / src / com / hazelcast / core / IQueue . java <nl> package com . hazelcast . core ; <nl> <nl> import java . util . concurrent . BlockingQueue ; <nl> <nl> - public interface IQueue < E > extends ICollection , BlockingQueue < E > , ICommon { <nl> + public interface IQueue < E > extends ICollection < E > , BlockingQueue < E > , ICommon { <nl> <nl> }",Added generic argument to ICollection .,0
"mmm a / src / soot / UnknownType . java <nl> ppp b / src / soot / UnknownType . java <nl> public class UnknownType extends Type <nl> <nl> public String toString ( ) <nl> { <nl> - return "" . unknown "" ; <nl> + return "" unknown "" ; <nl> } <nl> <nl> public void apply ( Switch sw )","renaming type to \"" unknown \"" to be in line with parser",0
"mmm ServerConfigurationManager . java . patch <nl> ppp ServerConfigurationManager . java . patch <nl> - @@ -98,7 +100,7 @@ <nl> + @@ -58,6 +60,7 @@ <nl> + import net . minecraft . world . WorldSettings ; <nl> + import net . minecraft . world . demo . DemoWorldManager ; <nl> + import net . minecraft . world . storage . IPlayerFileData ; <nl> + import org . apache . logging . log4j . LogManager ; <nl> + import org . apache . logging . log4j . Logger ; <nl> + @@ -98,7 +101,7 @@ <nl> - @@ -119,7 +121,7 <nl>",need to load the dimension from disk - do it without fill out the player so that the normal player load event,1
"mmm CurrencyPair . java <nl> ppp CurrencyPair . java <nl> + public static final CurrencyPair BTC_LTC = new CurrencyPair(""BTC"", ""LTC"") ; <nl> + public static final CurrencyPair BTC_XRP = new CurrencyPair(""BTC"", ""XRP"") ; <nl>",add currency pair btc_ltc and btc_xrp in order to support justcoin,1
mmm a / src / main / java / io / antmedia / datastore / db / DataStoreFactory . java <nl> ppp b / src / main / java / io / antmedia / datastore / db / DataStoreFactory . java <nl> public class DataStoreFactory { <nl> public void setDbPassword ( String dbPassword ) { <nl> this . dbPassword = dbPassword ; <nl> } <nl> + <nl> + public void init ( ) { <nl> + getDataStore ( ) ; <nl> + } <nl> <nl> <nl> public IDataStore getDataStore ( ) {,add init method to datastorefactory,0
mmm LinterForeignKeyWithNoIndices . java <nl> ppp LinterForeignKeyWithNoIndices . java <nl> - package schemacrawler . tools . linter ;,fix lint `` foreign key with no index '' so that it look at the table 's,1
"mmm a / src / java / net / sf / jabref / PreviewPanel . java <nl> ppp b / src / java / net / sf / jabref / PreviewPanel . java <nl> public class PreviewPanel extends JPanel implements VetoableChangeListener , Sear <nl> sb . append ( layout . doLayout ( entry , database , wordsToHighlight ) ) ; <nl> } <nl> previewPane . setText ( sb . toString ( ) ) ; <nl> - previewPane . invalidate ( ) ; <nl> previewPane . revalidate ( ) ; <nl> <nl> / / Scroll to top :",removed unnecessary call to previewPane . invalidate ( ) .,0
mmm a / . travis . yml <nl> ppp b / . travis . yml <nl> cache : <nl> install : mvn install - DskipTests = true - Dmaven . javadoc . skip = true - B - V - q - T 2 <nl> <nl> script : mvn test - Dair . check . skip - dependency = true <nl> + notifications : <nl> + slack : <nl> + secure : V5eyoGShxFoCcYJcp858vf / T6gC9KeMxL0C1EElcpZRcKBrIVZzvhek3HLHxZOxlghqnvNVsyDtU3u5orkEaAXeXj5c2dN + 4XBsAB9oeN5MtQ0Z3VLAhZDqKIW1LzcXrq4DpzM0PkGhjfjum / P94 / qFYk0UckPtB6a341AuYRo8 =,Add slack integration for travis,0
"mmm a / OsmAnd / src / net / osmand / plus / views / ContextMenuLayer . java <nl> ppp b / OsmAnd / src / net / osmand / plus / views / ContextMenuLayer . java <nl> public class ContextMenuLayer extends OsmandMapLayer { <nl> mAddGpxPointBottomSheetHelper = new AddGpxPointBottomSheetHelper ( activity , this ) ; <nl> } <nl> <nl> - public void setSelectedObjectContextMenuProvider ( IContextMenuProvider provider ) { <nl> - this . selectedObjectContextMenuProvider = provider ; <nl> - } <nl> - <nl> public AddGpxPointBottomSheetHelper getAddGpxPointBottomSheetHelper ( ) { <nl> return mAddGpxPointBottomSheetHelper ; <nl> }",Remove setter for provider,0
"mmm a / maven - core / src / main / java / org / apache / maven / lifecycle / DefaultLifecycleExecutor . java <nl> ppp b / maven - core / src / main / java / org / apache / maven / lifecycle / DefaultLifecycleExecutor . java <nl> private List segmentTaskListByAggregationNeeds ( List tasks , MavenSession session <nl> { <nl> segment . add ( ( String ) i . next ( ) ) ; <nl> } <nl> + segments . add ( segment ) ; <nl> } <nl> <nl> return segments ;",add first segment to list .,0
mmm a / graylog2 - server / src / main / java / org / graylog2 / rest / resources / streams / requests / CreateStreamRequest . java <nl> ppp b / graylog2 - server / src / main / java / org / graylog2 / rest / resources / streams / requests / CreateStreamRequest . java <nl> public abstract class CreateStreamRequest { <nl> public abstract String contentPack ( ) ; <nl> <nl> @ JsonProperty <nl> - @ Nullable <nl> public abstract Stream . MatchingType matchingType ( ) ; <nl> <nl> @ JsonCreator,Removing Nullable as property is set in creator to non null value .,1
mmm a / hibernate - core / src / matrix / java / org / hibernate / test / hql / ASTParserLoadingOrderByTest . java <nl> ppp b / hibernate - core / src / matrix / java / org / hibernate / test / hql / ASTParserLoadingOrderByTest . java <nl> public class ASTParserLoadingOrderByTest extends BaseCoreFunctionalTestCase { <nl> cleanupData ( ) ; <nl> } <nl> <nl> - @ Test <nl> + @ Test ( timeout = 5 * 60 * 1000 ) <nl> public void testOrderBySelectNewMapArgAliasRef ( ) { <nl> createData ( ) ;,add timeout check to avoid hangs,1
"mmm IconBuilder . java <nl> ppp IconBuilder . java <nl> - final XMLElement iconElement = new XMLElement() ; <nl> - iconElement . setName(""icon"") ; <nl> - iconElement . setAttribute(""BUILTIN"", icon . getName()) ; <nl> - if (forceFormatting) { <nl> - MindIcon mindIcon = (MindIcon) icon ; <nl> - String iconFile ; <nl> - try { <nl> - iconFile = new URI(null, mindIcon . getFile(), null) . toString() ; <nl> - iconElement . setAttribute(""src"", iconFile) ; <nl> - iconElement . setAttribute(""height"", <nl> - Integer . toString(iconController . getIconSize(node, StyleOption . FOR_UNSELECTED_NODE) . toBaseUnitsRounded())) ; <nl> - } catch (Exception e) <nl>",do not export state icon because it fail,1
"mmm Minecraft . java . patch <nl> ppp Minecraft . java . patch <nl> - @@ -442,7 +442,6 @@ <nl> + @@ -423,6 +423,7 @@ <nl> + screensize = new ScreenSize(this . field_71474_y . field_92118_B, this . field_71474_y . field_92119_C, screensize . field_216496_c, screensize . field_216497_d, screensize . field_216498_e) ; <nl> + } <nl> +      net . minecraftforge . fml . loading . progress . EarlyProgressVisualization . INSTANCE . join() ; <nl> + LongSupplier longsupplier = GLX . initGlfw() ; <nl> + if (longsupplier != null) { <nl> + Util . field_211180_a = longsupplier <nl>",add a super early gui for show pre-game launch message from fml note : this can not show on mac because mac can not handle,1
mmm a / src / main / java / org / tron / program / SolidityNode . java <nl> ppp b / src / main / java / org / tron / program / SolidityNode . java <nl> public class SolidityNode { <nl> <nl> private AtomicLong lastSolidityBlockNum = new AtomicLong ( ) ; <nl> <nl> - private long maxBlockCacheSize = 10_000 ; <nl> + private int maxBlockCacheSize = 10_000 ; <nl> <nl> private volatile boolean syncFlag = true ;,modify maxBlockCacheSize to int,0
mmm a / common / src / main / java / io / bitsquare / app / DevFlags . java <nl> ppp b / common / src / main / java / io / bitsquare / app / DevFlags . java <nl> public class DevFlags { <nl> private static final Logger log = LoggerFactory . getLogger ( DevFlags . class ) ; <nl> <nl> public static final boolean STRESS_TEST_MODE = false ; <nl> - public static final boolean DEV_MODE = STRESS_TEST_MODE | | true ; <nl> + public static final boolean DEV_MODE = STRESS_TEST_MODE | | false ; <nl> },Set devflag to false,0
"mmm a / src / main / java / org / graylog2 / plugin / alarms / transports / Transport . java <nl> ppp b / src / main / java / org / graylog2 / plugin / alarms / transports / Transport . java <nl> public interface Transport { <nl> public Map < String , String > getRequestedConfiguration ( ) ; <nl> public void transportAlarm ( Alarm alarm ) ; <nl> public String getName ( ) ; <nl> + public String getUserFieldName ( ) ; <nl> <nl> }",have own user field name for transports,0
mmm a / src / com / facebook / buck / jvm / java / AbstractJavacPluginProperties . java <nl> ppp b / src / com / facebook / buck / jvm / java / AbstractJavacPluginProperties . java <nl> abstract class AbstractJavacPluginProperties implements AddsToRuleKey { <nl> ANNOTATION_PROCESSOR <nl> } <nl> <nl> + @ AddToRuleKey <nl> public abstract Type getType ( ) ; <nl> <nl> @ Value . NaturalOrder,Add javac plugin type to rulekey .,0
